Name,Season,Hometown,#TimesPlayed,TwitterHandle,SeasonAge,Rank,Sex,ChallengeWins,VotesAgainst,DaysLasted,IdolsFound,IdolsPlayed,VotesVoided,BootAvoided,,,,,,,,,,,
Aaron Reisberger,China,"Venice, CA",1,0,32,12,M,5,3,15,0,0,0,0,,,,,,,,,,,
Ace Gordon,Gabon,"Naples, FL",1,0,27,12,M,3,5,21,0,0,0,0,,,,,,,,,,,
Adam Gentry,Cook Islands,"San Diego, CA",1,0,28,5,M,6,5,37,0,0,0,0,,,,,,,,,,,
Alex Angarita,Fiji,"Los Angeles, CA",1,1,28,7,M,10,9,33,0,1,0,0,,,,,,,,,,,
Alexis Jones,Micronesia,"Los Angeles, CA",1,1,24,6,F,9,2,33,0,0,0,0,,,,,,,,,,,
Amanda Kimmel,China,"Kalispell, MT",1,1,23,3,F,12,0,39,0,0,0,0,,,,,,,,,,,
Amanda Kimmel,Micronesia,"Kalispell, MT",2,1,23,2,F,8,4,39,1,1,4,1,,,,,,,,,,,
Amanda Kimmel,Heroes vs. Villains,"Kalispell, MT",3,1,25,9,F,8,10,30,0,0,0,0,,,,,,,,,,,
Ami Cusack,Micronesia,"Lakewood, CO",2,1,34,11,F,5,4,21,0,0,0,0,,,,,,,,,,,
Amy O'Hara,Guatemala,"Revere, MA",1,0,39,11,F,4,18,4,0,0,0,0,,,,,,,,,,,
"Andria (Dre) ""Dreamz"" Herd",Fiji,"Wilmington, NC",1,0,25,2,M,12,2,39,0,0,0,0,,,,,,,,,,,
"Anh-Tuan ""Cao Boi"" Bui",Cook Islands,"Christiansburg,VA",1,0,42,15,M,6,6,15,0,0,0,0,,,,,,,,,,,
Anthony Robinson,Fiji,"Compton, CA",1,1,32,13,M,0,10,16,0,0,0,0,,,,,,,,,,,
Aras Baskauskas,Panama,"Santa Monica, CA",1,0,24,1,M,10,9,39,0,0,0,0,,,,,,,,,,,
Ashley Massaro,China,"East Northport,NY",1,0,28,15,F,0,8,6,0,0,0,0,,,,,,,,,,,
Ashley Trainer,Samoa,"Maple Grove, MN",1,1,22,15,F,2,9,14,0,0,0,0,,,,,,,,,,,
Austin Carty,Panama,"High Point, NC",1,1,24,9,M,6,7,21,0,0,0,0,,,,,,,,,,,
Becky Lee,Cook Islands,"Washington, DC",1,0,28,3,F,11,5,39,0,0,0,0,,,,,,,,,,,
Ben Browning,Samoa,"Los Angeles, CA",1,1,28,17,M,1,7,8,0,0,0,0,,,,,,,,,,,
"Benjamin ""Coach"" Wade",Tocantins,"Bolivar, MO",1,1,37,5,M,6,6,36,0,0,0,0,,,,,,,,,,,
"Benjamin ""Coach"" Wade",Heroes vs. Villains,"Bolivar, MO",2,1,38,12,M,7,4,21,0,0,0,0,,,,,,,,,,,
Betsy Bolan,Samoa,"Campton, NH",1,0,48,18,F,1,7,6,0,0,0,0,,,,,,,,,,,
Blake Towsley,Guatemala,"Dallas, TX",1,0,24,14,M,7,5,14,0,0,0,0,,,,,,,,,,,
Bobby Jon Drinkard,Guatemala,"Troy, AL",2,0,27,9,M,8,8,24,0,0,0,0,,,,,,,,,,,
Bobby Mason,Panama,"Los Angeles, CA",1,0,32,12,M,6,3,14,0,0,0,0,,,,,,,,,,,
Brad Virata,Cook Islands,"Los Angeles, CA",1,0,29,12,M,5,7,21,0,0,0,0,,,,,,,,,,,
Brandon Bellinger,Guatemala,"Manhattan, KS",1,0,22,10,M,8,6,21,0,0,0,0,,,,,,,,,,,
Brendan Synnott,Tocantins,"New York, NY",1,0,30,9,M,6,4,24,1,0,0,0,,,,,,,,,,,
Brett Clouser,Samoa,"Los Angeles, CA",1,1,23,4,M,12,3,38,0,0,0,0,,,,,,,,,,,
Brian Corridan,Guatemala,"New York, NY",1,0,22,12,M,3,7,15,0,0,0,0,,,,,,,,,,,
Brianna Varela,Guatemala,"Edmonds, WA",1,0,21,16,F,1,7,8,0,0,0,0,,,,,,,,,,,
Brooke Struck,Guatemala,"Hood River, OR",1,0,25,15,F,5,5,11,0,0,0,0,,,,,,,,,,,
Bruce Kanegai,Panama,"Simi Valley, CA",1,0,57,7,M,9,2,25,0,0,0,0,,,,,,,,,,,
Candace Smith,Tocantins,"Dayton, OH",1,0,31,15,F,1,7,6,0,0,0,0,,,,,,,,,,,
Candice Woodcock,Cook Islands,"Fayetteville, NC",1,0,23,8,F,7,6,30,0,0,0,0,,,,,,,,,,,
Candice Woodcock,Heroes vs. Villains,"Fayetteville, NC",2,0,27,8,F,8,5,31,0,0,0,0,,,,,,,,,,,
Carolina Eastwood,Tocantins,"West Hollywood,CA",1,0,26,16,F,0,7,3,0,0,0,0,,,,,,,,,,,
Cassandra Franklin,Fiji,"Los Angeles, CA",1,0,42,2,F,14,5,39,0,0,0,0,,,,,,,,,,,
